epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,135430,0.66404,0.53057,1.13102,0.7847,0.77454,0.8145,0.61196,1.07314,0.85458,1.44568,0.000107706,0.000107706,0.000107706
40,136965,0.65398,0.52617,1.12687,0.78882,0.78415,0.82202,0.61804,1.07597,0.84258,1.44505,9.9093e-05,9.9093e-05,9.9093e-05
41,138494,0.62977,0.46999,1.14239,0.77823,0.78163,0.81299,0.60901,1.08186,0.84046,1.46567,9.048e-05,9.048e-05,9.048e-05
42,140037,0.58414,0.41485,1.11844,0.77363,0.78656,0.822,0.62034,1.08975,0.86302,1.4883,8.1867e-05,8.1867e-05,8.1867e-05
43,141567,0.58315,0.41234,1.1105,0.75665,0.801,0.81953,0.61523,1.08299,0.85272,1.48154,7.3254e-05,7.3254e-05,7.3254e-05
44,143101,0.55356,0.37935,1.08241,0.78138,0.77804,0.81715,0.61121,1.0819,0.84357,1.49335,6.4641e-05,6.4641e-05,6.4641e-05
45,144681,0.56145,0.38074,1.09175,0.8059,0.76216,0.81724,0.61577,1.09599,0.8379,1.50146,5.6028e-05,5.6028e-05,5.6028e-05
46,146278,0.54675,0.36924,1.08019,0.80426,0.76976,0.82446,0.6212,1.09445,0.83016,1.49311,4.7415e-05,4.7415e-05,4.7415e-05
47,147879,0.53755,0.36136,1.06484,0.81498,0.76945,0.82486,0.61978,1.09109,0.84092,1.50469,3.8802e-05,3.8802e-05,3.8802e-05
48,149479,0.52534,0.34467,1.05656,0.8079,0.77834,0.82575,0.62051,1.09636,0.84093,1.51029,3.0189e-05,3.0189e-05,3.0189e-05
49,151226,0.51399,0.33952,1.05626,0.79206,0.79201,0.82375,0.62016,1.10521,0.8431,1.51263,2.1576e-05,2.1576e-05,2.1576e-05
50,152920,0.51015,0.33587,1.05065,0.80922,0.78074,0.82398,0.6204,1.09808,0.83672,1.51181,1.2963e-05,1.2963e-05,1.2963e-05
